basic,Rose,0xffE8ADAA,"The color rose always had a strong female association due to its warmth, softness and connection with love and emotion. ‘Rose’ has also been linked to beauty and positivity"
basic,Powder Pink,0xffFFB2D0,Mix pink and a little white and you get powder pink. it also makes you feel sweetness and romance
basic,Peach,0xffFFB07C,"Peach is a unique mixture of orange, yellow and white. it gives a sense of joy, warmness, comfortability, considered as a positive, soft, fuzzy and fruity color"
basic,Maroon,0xff650021,"Maroon is a very dark shade of red. Because of its dark red hue, maroon can still sometimes look similar to brown. it feels like Passion, love, anger, energy and danger"
basic,Arty Click Magenta,0xffFF00FF,"it is a shade of the pink and fuchsia families. Magenta is the color of universal harmony and emotional balance. It contains the passion, power and energy of red, restrained by the introspection and quiet energy of violet."
basic,Navy,0xff01153E,"Navy is a very dark shade of blue…classic, royal, nautical, strong color"
basic,Baby Blue,0xffA2CFFE,"Baby blue is like sky blue but paler, used as the color for newborn males. Young, fresh ,playful color"
basic,Royal Blue,0xff2B60DE,"Royal blue is a deep, vivid blue. It is lighter than navy blue. Its associated with open spaces, freedom, intuition, inspiration and sensitivity"
basic,Light grey,0xffD8DCD6,"Light shade of grey “mixture of black and white “like the clouds... mature, responsible, strict color “the color of old ages”"
basic,Dark grey,0xff363737,"dark shade of grey “mixture of black and white “ like the color of asphalt…Serious, formal, classic, gothic, authoritative, conservative, pious and respectful color "
basic,Teal,0xff029386,"Teal is a deep blue-green color, and is symbolic of the infinity of the sea and sky. Represents open communication and clarity of thought” the color of truth and faith for Egyptians”"
basic,Light Olive Green,0xffA4BE5C,"Olive green is dark yellowish-green color... widely used as a camouflage color especially in military, positive, classic color"
basic,Dark Grass Green,0xff388004,"Dark Grass Green” mixture of yellow , blue and green” from the dark shades of spring green like the color of the grass and leaves…natural ,positive ,grassy color"
basic,Aqua,0xff13EAC9,"Aqua is a variation of cyan that sits between green and blue ....evokes feelings of water , refreshing , positivity ,youth and dreaminess"
basic,Turquoise Blue,0xff6CDAE7,"Turquoise is a shade of blue “mixture of blue and little green “ color of oceans, gemstone and water...positive ,calmly ,restful ,cool color"
basic,Dark Orange,0xffFF8C00,"Is the dark shade of orange...Afresh, youthful, and creative color. It has the warmth of red and the optimism of yellow, also it attracts attention as it used for warning signs"
basic,pale lime,0xffBEFD73,"pale Lime is a bright, shade of green, like the bright shades of trees and grass.. luminous, natural, positive, grassy color"
basic,Bright Gold,0xffFDD017,"Bright gold from yellow shades , mixture between orange and yellow like the gold metal… positive ,happy ,comfort color"
basic,Sunny Yellow,0xffFFF917,"Sunny yellow from the shades of yellow, The color of sunshine and sunflowers... is an optimistic, playful, and happy color"
basic,Beige,0xffF5F5DC,"Beige is a light, sandy fawn color...used to describe pale and light brown shades,considered as calm, relaxing, and dependable"
basic,Dark Violet,0xff9400D3,"Dark violet from the dark shades of purple “mixture of red and blue”, a femine color ,indicates to the creativity ,imagination ,luxury and wealth"
basic,Indigo,0xff4B0082,"indigo is a dark purplish blue, mixture of purple and blue… positive spiritual meditative nostalgic color"
basic,Purple Jam,0xff6A287E,"Purple jam from the dark shades of purple “mixture of red and blue “, smells like grape … A rich , royal and regality color"
